CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),cluster,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,PC1,PC2
1,Male,19,15,39,4,4,4,0,4,-0.615720019,-1.763480878
2,Male,21,15,81,2,2,3,0,2,-1.665792713,-1.820746951
3,Female,20,16,6,4,4,4,0,4,0.337861909,-1.674798937
4,Female,23,16,77,2,2,3,0,2,-1.456573255,-1.77242992
5,Female,31,17,40,4,4,4,0,4,-0.038465208,-1.662740122
6,Female,22,17,76,2,2,3,0,2,-1.48168526,-1.735001735
7,Female,35,18,6,4,4,4,0,4,1.094616653,-1.566102302
8,Female,23,18,94,2,2,3,0,2,-1.926307359,-1.721110487
9,Male,64,19,3,4,4,4,0,4,2.645177858,-1.460847205
10,Female,30,19,72,2,2,3,0,2,-0.970130513,-1.635581083
11,Male,67,19,14,4,4,4,0,4,2.495688609,-1.470489137
12,Female,35,19,99,2,2,3,0,2,-1.456882561,-1.664360498
13,Female,58,20,15,4,4,4,0,4,2.010187292,-1.453298972
14,Female,24,20,77,2,2,3,0,2,-1.413210723,-1.61776746
15,Male,37,20,13,4,4,4,0,4,1.000429646,-1.495791764
16,Male,22,20,79,2,2,3,0,2,-1.569431699,-1.625026692
17,Female,35,21,35,4,4,4,0,4,0.294060318,-1.494255847
18,Male,20,21,66,2,2,3,0,2,-1.316249244,-1.572163828
19,Male,52,23,29,4,4,4,0,4,1.316699099,-1.372434044
20,Female,35,23,98,2,2,3,0,2,-1.436798987,-1.510394687
21,Male,35,24,35,4,4,4,0,4,0.288561175,-1.379881351
22,Male,25,24,73,2,2,3,0,2,-1.260185131,-1.457239065
23,Female,46,25,5,4,4,4,0,4,1.666843033,-1.273967548
24,Male,31,25,73,2,2,3,0,2,-0.957849842,-1.406135444
25,Female,54,28,14,4,4,4,0,4,1.820159784,-1.155486359
26,Male,29,28,82,2,2,3,0,2,-1.311480318,-1.309285569
27,Female,45,28,32,4,4,4,0,4,0.870423506,-1.201351257
28,Male,35,28,61,2,2,3,0,2,-0.431580912,-1.265510612
29,Female,40,29,31,4,4,4,0,4,0.64253261,-1.172575598
30,Female,23,29,87,2,2,3,0,2,-1.754560528,-1.291471946
31,Male,60,30,4,4,4,4,0,4,2.394819677,-1.051593064
32,Female,21,30,73,2,2,3,0,2,-1.473962308,-1.237142599
33,Male,53,33,4,4,4,4,0,4,2.034457475,-0.952360489
34,Male,18,33,92,2,2,3,0,2,-2.152445158,-1.157120697
35,Female,49,33,14,4,4,4,0,4,1.557520932,-0.975677856
36,Female,21,33,81,2,2,3,0,2,-1.698787573,-1.134499977
37,Female,42,34,17,4,4,4,0,4,1.11857753,-0.957094397
38,Female,30,34,73,2,2,3,0,2,-1.025041995,-1.065175088
39,Female,36,37,26,4,4,4,0,4,0.562168164,-0.868897047
40,Female,20,37,75,2,2,3,0,2,-1.592319895,-0.975364875
41,Female,65,38,35,4,4,4,0,4,1.783740186,-0.781239761
42,Male,24,38,92,2,2,3,0,2,-1.857442061,-0.953517749
43,Male,48,39,36,4,4,4,0,4,0.892681088,-0.781354648
44,Female,31,39,61,0,0,1,0,0,-0.654523328,-0.854789987
45,Female,49,39,28,4,4,4,0,4,1.162701933,-0.767459643
46,Female,24,39,65,2,2,1,0,0,-1.119049448,-0.875797844
47,Female,50,40,55,0,0,1,0,0,0.471337946,-0.766766753
48,Female,27,40,47,0,0,1,0,0,-0.475314553,-0.804786902
49,Female,29,40,42,0,0,1,0,0,-0.236846282,-0.793128219
50,Female,31,40,42,0,0,1,0,0,-0.135456836,-0.788801956
51,Female,49,42,52,0,0,1,0,0,0.499224424,-0.688280768
52,Male,33,42,60,0,0,1,0,0,-0.531217261,-0.734622744
53,Female,31,43,54,0,0,1,0,0,-0.469945162,-0.69202527
54,Male,59,43,60,0,0,1,0,0,0.785012481,-0.640256495
55,Female,50,43,45,0,0,1,0,0,0.739996455,-0.637727415
56,Male,47,43,41,0,0,1,0,0,0.697575348,-0.638350873
57,Female,51,44,50,0,0,1,0,0,0.651779304,-0.604771873
58,Male,69,44,46,0,0,1,0,0,1.673947373,-0.55996957
59,Female,27,46,51,0,0,1,0,0,-0.595975901,-0.581903848
60,Male,53,46,46,0,0,1,0,0,0.859165715,-0.518330009
61,Male,70,46,56,0,0,1,0,0,1.446818348,-0.496221617
62,Male,19,46,55,0,0,1,0,0,-1.111196743,-0.605074836
63,Female,67,47,52,0,0,1,0,0,1.402564193,-0.458720242
64,Female,54,47,59,0,0,1,0,0,0.551622442,-0.49710634
65,Male,63,48,51,0,0,1,0,0,1.22536802,-0.427781452
66,Male,18,48,59,0,0,1,0,0,-1.275220622,-0.53685424
67,Female,43,48,50,0,0,1,0,0,0.238889332,-0.469577597
68,Female,68,48,48,0,0,1,0,0,1.561088929,-0.412566342
69,Male,19,48,59,0,0,1,0,0,-1.224525899,-0.534691109
70,Female,32,48,47,0,0,1,0,0,-0.236505322,-0.48897259
71,Male,70,49,55,0,0,1,0,0,1.46873497,-0.380380637
72,Female,47,49,42,0,0,1,0,0,0.659161297,-0.411068365
73,Female,60,50,49,0,0,1,0,0,1.124449287,-0.355088214
74,Female,60,50,56,0,0,1,0,0,0.93253893,-0.365353603
75,Male,59,54,47,0,0,1,0,0,1.121253904,-0.201819049
76,Male,26,54,54,0,0,1,0,0,-0.743582301,-0.283467776
77,Female,45,54,53,0,0,1,0,0,0.247033195,-0.240901795
78,Male,40,54,48,0,0,1,0,0,0.130638408,-0.244385031
79,Female,23,54,52,0,0,1,0,0,-0.840834938,-0.287024202
80,Female,49,54,42,0,0,1,0,0,0.751385503,-0.216117943
81,Male,57,54,51,0,0,1,0,0,0.910201397,-0.212011249
82,Male,38,54,55,0,0,1,0,0,-0.162661394,-0.258976683
83,Male,67,54,41,0,0,1,0,0,1.691306276,-0.175715093
84,Female,46,54,44,0,0,1,0,0,0.544469805,-0.225540306
85,Female,21,54,57,0,0,1,0,0,-1.07930321,-0.298682886
86,Male,48,54,46,0,0,1,0,0,0.59102772,-0.224147011
87,Female,55,57,58,0,0,1,0,0,0.611402452,-0.112228405
88,Female,22,57,55,0,0,1,0,0,-0.9792761,-0.17921229
89,Female,34,58,60,0,0,1,0,0,-0.509851302,-0.122462302
90,Female,50,58,46,0,0,1,0,0,0.685084974,-0.067321421
91,Female,68,59,55,0,0,1,0,0,1.349015047,-0.00345858
92,Male,18,59,41,0,0,1,0,0,-0.801900373,-0.091084374
93,Male,48,60,49,0,0,1,0,0,0.497782137,0.000202528
94,Female,40,60,40,0,0,1,0,0,0.338966243,-0.003904166
95,Female,32,60,42,0,0,1,0,0,-0.121423069,-0.024142186
96,Male,24,60,52,0,0,1,0,0,-0.801138502,-0.056112079
